step,agent_idx,junction_id,reward,episode_reward
27,5,J10,-1.5e-05,21.54281935205637
27,6,J11,-1.5e-05,21.54281935205637
27,7,J12,-1.5e-05,21.54281935205637
27,8,J22,0.199985,21.54281935205637
28,0,J0,-0.000715,22.09267716291754
28,1,J1,-1.5e-05,22.09267716291754
28,2,J5,0.299985,22.09267716291754
28,3,J6,0.025677810861169256,22.09267716291754
28,4,J7,-1.5e-05,22.09267716291754
28,5,J10,0.224985,22.09267716291754
28,6,J11,-1.5e-05,22.09267716291754
28,7,J12,-1.5e-05,22.09267716291754
28,8,J22,-1.5e-05,22.09267716291754
29,0,J0,-0.000715,23.292534973778707
29,1,J1,0.149985,23.292534973778707
29,2,J5,0.299985,23.292534973778707
29,3,J6,0.025677810861169256,23.292534973778707
29,4,J7,0.199985,23.292534973778707
29,5,J10,-1.5e-05,23.292534973778707
29,6,J11,0.224985,23.292534973778707
29,7,J12,-1.5e-05,23.292534973778707
29,8,J22,0.299985,23.292534973778707
30,0,J0,-0.000715,23.617392784639875
30,1,J1,-1.5e-05,23.617392784639875
30,2,J5,-1.5e-05,23.617392784639875
30,3,J6,0.32567781086116926,23.617392784639875
30,4,J7,-1.5e-05,23.617392784639875
30,5,J10,-1.5e-05,23.617392784639875
30,6,J11,-1.5e-05,23.617392784639875
30,7,J12,-1.5e-05,23.617392784639875
30,8,J22,-1.5e-05,23.617392784639875
31,0,J0,-0.000715,25.292250595501045
31,1,J1,0.149985,25.292250595501045
31,2,J5,0.299985,25.292250595501045
31,3,J6,0.32567781086116926,25.292250595501045
31,4,J7,-1.5e-05,25.292250595501045
31,5,J10,-1.5e-05,25.292250595501045
31,6,J11,0.299985,25.292250595501045
31,7,J12,0.299985,25.292250595501045
31,8,J22,0.299985,25.292250595501045
32,0,J0,-0.000715,26.742108406362213
32,1,J1,-1.5e-05,26.742108406362213
32,2,J5,0.299985,26.742108406362213
32,3,J6,0.32567781086116926,26.742108406362213
32,4,J7,-1.5e-05,26.742108406362213
32,5,J10,0.224985,26.742108406362213
32,6,J11,0.299985,26.742108406362213
32,7,J12,0.299985,26.742108406362213
32,8,J22,-1.5e-05,26.742108406362213
33,0,J0,-0.000715,27.591966217223383
33,1,J1,-1.5e-05,27.591966217223383
33,2,J5,-1.5e-05,27.591966217223383
33,3,J6,0.32567781086116926,27.591966217223383
33,4,J7,-1.5e-05,27.591966217223383
33,5,J10,0.224985,27.591966217223383
33,6,J11,-1.5e-05,27.591966217223383
