step,fixed_waiting,fixed_queue,fixed_throughput,fixed_vehicles,mappo_waiting,mappo_queue,mappo_throughput,mappo_vehicles
475,70.00,0.07,35,8,74.00,0.02,40,3
476,80.00,0.09,35,8,76.00,0.02,40,3
477,90.00,0.09,36,7,78.00,0.02,40,3
478,100.00,0.09,36,7,82.00,0.04,40,3
479,110.00,0.09,36,7,88.00,0.05,40,3
480,120.00,0.16,36,13,94.00,0.12,40,9
481,130.00,0.09,36,13,100.00,0.05,40,9
482,140.00,0.09,36,13,106.00,0.05,40,9
483,150.00,0.09,36,13,112.00,0.05,40,9
484,162.00,0.11,36,13,118.00,0.05,40,9
485,174.00,0.11,36,13,124.00,0.05,40,9
486,186.00,0.11,36,13,130.00,0.05,40,9
487,198.00,0.11,36,13,136.00,0.05,40,9
488,210.00,0.11,36,13,42.00,0.04,40,9
489,222.00,0.11,36,13,46.00,0.04,40,9
490,234.00,0.11,36,13,50.00,0.04,40,9
491,246.00,0.11,36,13,28.00,0.02,40,9
492,258.00,0.11,36,13,32.00,0.04,40,9
493,276.00,0.16,37,12,34.00,0.04,40,9
494,294.00,0.16,37,12,40.00,0.05,40,9
495,312.00,0.16,37,12,40.00,0.04,40,9
496,330.00,0.16,37,12,46.00,0.05,40,9
497,348.00,0.16,37,12,54.00,0.07,40,9
498,366.00,0.16,37,12,62.00,0.07,40,9
499,384.00,0.16,37,12,70.00,0.07,40,9
500,402.00,0.16,37,12,80.00,0.09,40,9
501,420.00,0.16,37,12,90.00,0.09,40,9
502,438.00,0.16,37,12,100.00,0.09,40,9
503,456.00,0.16,37,12,90.00,0.07,40,9
504,474.00,0.16,37,12,98.00,0.07,40,9
505,492.00,0.16,37,12,106.00,0.07,41,8
506,512.00,0.18,37,12,116.00,0.09,41,8
507,532.00,0.18,37,12,126.00,0.09,41,8
508,552.00,0.18,37,12,110.00,0.07,41,8
509,572.00,0.18,37,12,118.00,0.07,41,8
510,592.00,0.18,37,12,126.00,0.07,41,8
511,612.00,0.18,37,12,137.00,0.10,41,8
512,274.00,0.07,37,12,148.00,0.10,41,8
513,282.00,0.07,37,12,159.00,0.10,41,8
514,290.00,0.07,37,12,172.00,0.12,41,8
515,300.00,0.10,37,13,56.00,0.06,41,9
516,310.00,0.09,37,13,56.00,0.04,41,9
517,320.00,0.09,37,13,60.00,0.04,41,9
518,330.00,0.09,37,13,64.00,0.04,41,9
519,340.00,0.09,37,13,68.00,0.04,41,9
520,350.00,0.09,37,13,72.00,0.04,41,9
521,360.00,0.09,37,13,76.00,0.04,41,9
522,278.00,0.09,37,13,80.00,0.04,41,9
523,290.00,0.11,37,13,84.00,0.04,41,9
524,302.00,0.11,38,12,90.00,0.05,41,9
525,314.00,0.11,38,12,96.00,0.05,41,9
526,326.00,0.11,38,12,104.00,0.07,41,9
527,338.00,0.11,38,12,112.00,0.07,41,9
528,352.00,0.12,38,12,120.00,0.07,41,9
